Information about barcoded specimens. Sample Ids starting with "cvb" derive from a preliminary study about army ant diets and are not considered in army ant-prey network analyses.																											
Sequence information and depository								Systematic classicfication									Life history information		Collection information								
BOLD Project Code	Process ID	Sample ID	BIN	COI Sequence Length	GenBank Accession	Image Count	Specimen Deposition	Phylum	Class	Order	Family	Subfamily	Genus	Species	Identifier	Identification Method	Life Stage	Associated Taxa	Collectors	Collection Date	Country	State/Province	Region	Exact Site	Event Time	Habitat	Collection Notes
APREY	APREY011-18	cvb713prey001	BOLD:ADO6830	658	MK207714	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Ectatomminae	Ectatomma	Ectatomma lugens	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	13-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:30	Tropical rainforest	collected during army ant raiding
APREY	APREY012-18	cvb705prey002	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	09-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00-23:15	Tropical rainforest	collected during army ant raiding
APREY	APREY013-18	cvb705prey003	BOLD:AAC2202	658	MK207797	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Neoponera	Neoponera lineaticeps	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	09-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00-23:15	Tropical rainforest	collected during army ant raiding
APREY	APREY014-18	cvb705prey004	BOLD:ADB2816	658	MK208134	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Platythyrea	Platythyrea sp. 1	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	09-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00-23:15	Tropical rainforest	collected during army ant raiding
APREY	APREY015-18	cvb039prey001	BOLD:AAO3708	575	MK207887	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Odontomachus	Odontomachus ruginodis	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	12-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY016-18	cvb158prey001	BOLD:ADN8326	658	MK207627	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Formicinae	Camponotus	Camponotus sp. 1	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton burchellii foreli	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	01-Mar-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-2:30	Tropical rainforest	collected during army ant emigration
APREY	APREY017-18	cvb677pre001	BOLD:ADF9621	604	MK207457	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex	Acromyrmex volcanus	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	31-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:15-22:10	Tropical rainforest	collected during army ant emigration
APREY	APREY018-18	cvb677prey002	BOLD:ACJ8955	642	MK207783	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Neoponera	Neoponera bugabensis	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	31-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:15-22:10	Tropical rainforest	collected during army ant emigration
APREY	APREY019-18	cvb708prey001	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton burchellii foreli	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	12-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-02:00	Tropical rainforest	collected during army ant emigration
APREY	APREY020-18	cvb708prey003	BOLD:AAI3893	658	MK207639	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Formicinae	Camponotus	Camponotus sp. 2	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton burchellii foreli	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	12-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-02:00	Tropical rainforest	collected during army ant emigration
APREY	APREY021-18	cvb708prey004	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton burchellii foreli	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	12-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-02:00	Tropical rainforest	collected during army ant emigration
APREY	APREY022-18	cvb709prey002	BOLD:AAI3893	658	MK207635	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Formicinae	Camponotus	Camponotus sp. 2	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton burchellii foreli	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	12-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-02:00	Tropical rainforest	collected during army ant emigration
APREY	APREY023-18	cvb094prey001	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	18-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-3:00	Tropical rainforest	collected during army ant emigration
APREY	APREY024-18	cvb094prey002	BOLD:ACF1030	658	MK207911	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Pachycondyla	Pachycondyla harpax	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	18-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-3:00	Tropical rainforest	collected during army ant emigration
APREY	APREY025-18	cvb094prey003	BOLD:ACF1030	658	MK207901	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Pachycondyla	Pachycondyla harpax	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	18-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-3:00	Tropical rainforest	collected during army ant emigration
APREY	APREY026-18	cvb286prey001	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	14-Mar-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	22:30-0:45	Tropical rainforest	collected during army ant emigration
APREY	APREY027-18	cvb596prey001	BOLD:ACF1030	615	MK207898	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Pachycondyla	Pachycondyla harpax	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	21-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:30-22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY028-18	cvb596prey002	BOLD:ACF1030	658	MK207900	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Pachycondyla	Pachycondyla harpax	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	21-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:30-22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY029-18	cvb538prey001	BOLD:AAB5129	658	MK207984	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole dossena	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	07-Apr-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	17:00-20:00	Tropical rainforest	collected during army ant emigration
APREY	APREY030-18	cvb678prey001	BOLD:ADF9621	529	MK207451	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex	Acromyrmex volcanus	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	31-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:15-22:10	Tropical rainforest	collected during army ant emigration
APREY	APREY031-18	cvb678prey002	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	31-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:15-22:10	Tropical rainforest	collected during army ant emigration
APREY	APREY032-18	cvb678prey003	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	31-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:15-22:10	Tropical rainforest	collected during army ant emigration
APREY	APREY033-18	cvb678prey004	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	31-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:15-22:10	Tropical rainforest	collected during army ant emigration
APREY	APREY034-18	cvb678prey005	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	31-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:15-22:10	Tropical rainforest	collected during army ant emigration
APREY	APREY035-18	cvb489prey001	BOLD:ADG2145	612	MK207441	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex	Acromyrmex octospinosus	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	02-Apr-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	18:00-22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY036-18	cvb097prey001	BOLD:AAA1675	658	MK207917	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Formicinae	Paratrechina	Paratrechina longicornis	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	19-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	23:00-2:00	Tropical rainforest	collected during army ant emigration
APREY	APREY037-18	cvb705prey006	BOLD:AAC5700	658	MK208000	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole indagatrix	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	09-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00-23:15	Tropical rainforest	collected during army ant raiding
APREY	APREY038-18	cvb705prey007	BOLD:AAQ0723	658	MK207919	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole AAQ0723	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	09-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00-23:15	Tropical rainforest	collected during army ant raiding
APREY	APREY039-18	cvb705prey008	BOLD:AAC8570	658	MK207790	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Neoponera	Neoponera crenata	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	09-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00-23:15	Tropical rainforest	collected during army ant raiding
APREY	APREY040-18	cvb726prey001	BOLD:ADO0469	658	MK208131	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Platythyrea	Platythyrea punctata	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton mexicanum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	17-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:45-05:15	Tropical rainforest	collected during army ant raiding
APREY	APREY041-18	cvb734prey001	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren		adult		Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	22-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:45-23:!5	Tropical rainforest	collected during army ant emigration
APREY	APREY042-18	cvb597prey001	BOLD:AAB6974	658	MK208086	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole rugiceps	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton mexicanum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	21-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	24:00-3:20	Tropical rainforest	collected during army ant emigration
APREY	APREY043-18	cvb597prey002	BOLD:AAB6974	658	MK208085	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole rugiceps	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton mexicanum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	21-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	24:00-3:20	Tropical rainforest	collected during army ant emigration
APREY	APREY044-18	cvb748prey001	BOLD:AAG0942	658	MK207795	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Neoponera	Neoponera curvinodis	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	24-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	23:45-4:00	Tropical rainforest	collected during army ant emigration
APREY	APREY045-18	cvb748prey002	BOLD:ADN9467	633	MK207707	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Dolichoderinae	Dolichoderus	Dolichoderus sp. 1	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	24-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	23:45-4:00	Tropical rainforest	collected during army ant emigration
APREY	APREY046-18	cvb747prey001	BOLD:AAP9640	658	MK207881	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Odontomachus	Odontomachus panamensis	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	24-Apr-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	23:45-4:00	Tropical rainforest	collected during army ant emigration
APREY	APREY047-18	cvb625prey001	BOLD:AAZ8170	658	MK207734	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Ectatomminae	Gnamptogenys	Gnamptogenys tornata	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton mexicanum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	24-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00	Tropical rainforest	collected during army ant emigration
APREY	APREY048-18	cvb796prey010	BOLD:AAP9640	658	MK207868	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Odontomachus	Odontomachus panamensis	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Oct-2015	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00	Tropical rainforest	collected during army ant raiding
APREY	APREY049-18	cvb796prey009	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Oct-2015	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00	Tropical rainforest	collected during army ant raiding
APREY	APREY050-18	cvb796prey008	BOLD:AAP9640	658	MK207870	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Odontomachus	Odontomachus panamensis	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Oct-2015	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00	Tropical rainforest	collected during army ant raiding
APREY	APREY051-18	cvb796prey013	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Oct-2015	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00	Tropical rainforest	collected during army ant raiding
APREY	APREY052-18	cvb796prey017	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Oct-2015	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00	Tropical rainforest	collected during army ant raiding
APREY	APREY053-18	cvb796prey019	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton vagans	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Oct-2015	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	21:00	Tropical rainforest	collected during army ant raiding
